step,full_train_acc,val_accuracy,full_train_loss,val_loss,train_accuracy,train_loss,learning_rate,epoch
9,,,,,0.0,4.751424789428711,0.0,0.0
10,0.0,0.0,3.143733263015747,3.1479921340942383,,,,1.0
19,,,,,0.0,2.9110708236694336,0.0010000000474974513,1.0
20,0.0,0.0,2.4952139854431152,2.506058931350708,,,,2.0
29,,,,,0.27920961380004883,2.4418282508850098,0.0010000000474974513,2.0
30,1.2671821117401123,0.880584180355072,2.364636182785034,2.37400221824646,,,,3.0
39,,,,,0.9235395193099976,2.355780601501465,0.0010000000474974513,3.0
40,1.1812715530395508,0.880584180355072,2.3282968997955322,2.3350493907928467,,,,4.0
49,,,,,1.052405595779419,2.3266735076904297,0.0010000000474974513,4.0
50,1.2242268323898315,0.8591065406799316,2.313835859298706,2.3221182823181152,,,,5.0
59,,,,,1.0953607559204102,2.315298318862915,0.0010000000474974513,5.0
60,0.9664948582649231,0.9879724979400635,2.3065690994262695,2.3180131912231445,,,,6.0
69,,,,,1.0309278964996338,2.308936595916748,0.0010000000474974513,6.0
70,1.1168384552001953,0.9235395193099976,2.3023722171783447,2.313673973083496,,,,7.0
79,,,,,0.9450172185897827,2.3040575981140137,0.0010000000474974513,7.0
80,1.2457045316696167,0.880584180355072,2.29673433303833,2.3067643642425537,,,,8.0
89,,,,,1.2242268323898315,2.2975144386291504,0.0010000000474974513,8.0
90,1.2671821117401123,0.9450172185897827,2.290562391281128,2.3010027408599854,,,,9.0
99,,,,,1.4819588661193848,2.2913970947265625,0.0010000000474974513,9.0
100,1.2457045316696167,1.0309278964996338,2.281470537185669,2.2925169467926025,,,,10.0
109,,,,,1.5463917255401611,2.282630443572998,0.0010000000474974513,10.0
110,2.1692440509796143,1.9329897165298462,2.271575927734375,2.2822418212890625,,,,11.0
119,,,,,2.104810953140259,2.275254726409912,0.0010000000474974513,11.0
120,2.2121994495391846,1.9544674158096313,2.268392562866211,2.282904624938965,,,,12.0
129,,,,,2.0403780937194824,2.272341251373291,0.0010000000474974513,12.0
130,2.298110008239746,1.8685567378997803,2.2639684677124023,2.282083749771118,,,,13.0
139,,,,,2.3410654067993164,2.2674648761749268,0.0010000000474974513,13.0
140,2.4914090633392334,1.8256014585494995,2.2618820667266846,2.2807464599609375,,,,14.0
149,,,,,2.3410654067993164,2.266772985458374,0.0010000000474974513,14.0
150,2.3625431060791016,1.6537801027297974,2.2560439109802246,2.2875425815582275,,,,15.0
159,,,,,2.5128867626190186,2.2618682384490967,0.0010000000474974513,15.0
160,2.7061855792999268,1.7396907806396484,2.250361919403076,2.29101824760437,,,,16.0
169,,,,,2.7061855792999268,2.254671335220337,0.0010000000474974513,16.0
170,2.6632301807403564,1.5463917255401611,2.2452480792999268,2.3027400970458984,,,,17.0
179,,,,,2.59879732131958,2.247056722640991,0.0010000000474974513,17.0
180,3.1142611503601074,1.4604811668395996,2.231858253479004,2.314847230911255,,,,18.0
189,,,,,3.1142613887786865,2.239079475402832,0.0010000000474974513,18.0
