step,full_train_acc,val_accuracy,full_train_loss,val_loss,train_accuracy,train_loss,learning_rate,epoch
12,,,,,0.01534212939441204,4.2985076904296875,0.0,0.0
13,0.0,0.0,2.8814473152160645,2.8892815113067627,,,,1.0
25,,,,,0.07671064883470535,2.6478207111358643,0.0010000000474974513,1.0
26,1.1506596803665161,0.7158195972442627,2.4033946990966797,2.413015604019165,,,,2.0
38,,,,,0.8745014071464539,2.37516450881958,0.0010000000474974513,2.0
39,1.181343913078308,0.7516105771064758,2.334810256958008,2.3434383869171143,,,,3.0
51,,,,,0.9512119889259338,2.331057548522949,0.0010000000474974513,3.0
52,1.2427124977111816,0.6442376375198364,2.315770387649536,2.3229422569274902,,,,4.0
64,,,,,1.1813440322875977,2.3177132606506348,0.0010000000474974513,4.0
65,1.2273703813552856,0.6084466576576233,2.3080952167510986,2.315399408340454,,,,5.0
77,,,,,1.166001796722412,2.31093692779541,0.0010000000474974513,5.0
78,1.196686029434204,0.7158195972442627,2.3020524978637695,2.3115429878234863,,,,6.0
90,,,,,0.8745013475418091,2.3036375045776367,0.0010000000474974513,6.0
91,1.0125805139541626,0.5726556777954102,2.2923316955566406,2.3010401725769043,,,,7.0
103,,,,,1.4114758968353271,2.2936460971832275,0.0010000000474974513,7.0
104,2.255293130874634,1.7537579536437988,2.2815005779266357,2.2877864837646484,,,,8.0
116,,,,,1.7796869277954102,2.2846450805664062,0.0010000000474974513,8.0
117,2.1018717288970947,1.9685038328170776,2.275033473968506,2.2838075160980225,,,,9.0
129,,,,,2.025161027908325,2.2790369987487793,0.0010000000474974513,9.0
130,2.285977363586426,1.825339913368225,2.2715137004852295,2.279240131378174,,,,10.0
142,,,,,1.9944769144058228,2.2762436866760254,0.0010000000474974513,10.0
143,2.1018717288970947,2.1116678714752197,2.2691774368286133,2.2778964042663574,,,,11.0
155,,,,,1.9177660942077637,2.272919178009033,0.0010000000474974513,11.0
156,2.0711874961853027,2.040085792541504,2.267462968826294,2.278144598007202,,,,12.0
168,,,,,1.7796869277954102,2.272366762161255,0.0010000000474974513,12.0
169,2.1632401943206787,1.8969218730926514,2.2666263580322266,2.2772433757781982,,,,13.0
181,,,,,2.1478981971740723,2.270597457885742,0.0010000000474974513,13.0
182,2.255293130874634,1.6105940341949463,2.2649827003479004,2.276939630508423,,,,14.0
194,,,,,2.0405032634735107,2.269824981689453,0.0010000000474974513,14.0
195,2.2092666625976562,1.825339913368225,2.2633848190307617,2.2774431705474854,,,,15.0
207,,,,,2.1018717288970947,2.268613815307617,0.0010000000474974513,15.0
208,2.393372058868408,1.574803113937378,2.2615578174591064,2.278167724609375,,,,16.0
220,,,,,2.224608898162842,2.265806198120117,0.0010000000474974513,16.0
221,2.3780300617218018,1.4674301147460938,2.2596888542175293,2.2794628143310547,,,,17.0
233,,,,,2.117213726043701,2.2645504474639893,0.0010000000474974513,17.0
234,2.4240565299987793,1.4316391944885254,2.2574245929718018,2.2861311435699463,,,,18.0
246,,,,,2.3473458290100098,2.2619409561157227,0.0010000000474974513,18.0
247,2.6081619262695312,1.4674301147460938,2.2531352043151855,2.289915084838867,,,,19.0
259,,,,,2.4547407627105713,2.257112503051758,0.0010000000474974513,19.0
260,2.7002148628234863,1.3600572347640991,2.2473716735839844,2.301527738571167,,,,20.0
272,,,,,2.6695303916931152,2.2503445148468018,0.0010000000474974513,20.0
273,3.267873525619507,1.2884752750396729,2.2365100383758545,2.3232779502868652,,,,21.0
285,,,,,3.0684258937835693,2.2407944202423096,0.0010000000474974513,21.0
286,3.820190191268921,1.1095203161239624,2.2220897674560547,2.349583864212036,,,,22.0
298,,,,,3.5286896228790283,2.2273688316345215,0.0010000000474974513,22.0
299,4.2037434577941895,1.3242661952972412,2.2045891284942627,2.3846709728240967,,,,23.0
311,,,,,3.9582695960998535,2.211599588394165,0.0010000000474974513,23.0
312,4.863454818725586,1.2168933153152466,2.1851253509521484,2.3948147296905518,,,,24.0
324,,,,,4.234427452087402,2.1911330223083496,0.0010000000474974513,24.0
325,5.477139949798584,1.252684235572815,2.162015438079834,2.4260897636413574,,,,25.0
337,,,,,4.8174285888671875,2.168027877807617,0.0010000000474974513,25.0
338,6.505063056945801,1.1095203161239624,2.130653142929077,2.4355151653289795,,,,26.0
350,,,,,5.477140426635742,2.1368026733398438,0.0010000000474974513,26.0
351,7.210800647735596,1.1811022758483887,2.1043570041656494,2.442352056503296,,,,27.0
363,,,,,6.627799987792969,2.102810859680176,0.0010000000474974513,27.0
364,9.12856674194336,1.5032211542129517,2.0512661933898926,2.4348232746124268,,,,28.0
376,,,,,8.054617881774902,2.0525126457214355,0.0010000000474974513,28.0
377,10.463332176208496,1.4674301147460938,1.9973124265670776,2.395050048828125,,,,29.0
389,,,,,9.328014373779297,2.0021986961364746,0.0010000000474974513,29.0
390,11.107701301574707,1.3600572347640991,1.959848403930664,2.372982978820801,,,,30.0
402,,,,,10.540042877197266,1.9459397792816162,0.0010000000474974513,30.0
403,13.224915504455566,1.4316391944885254,1.8795804977416992,2.3225555419921875,,,,31.0
415,,,,,11.598649978637695,1.889357566833496,0.0010000000474974513,31.0
416,13.66983699798584,2.040085792541504,1.8432331085205078,2.295522689819336,,,,32.0
428,,,,,13.194231033325195,1.8355190753936768,0.0010000000474974513,32.0
429,16.492788314819336,1.574803113937378,1.76851224899292,2.2513132095336914,,,,33.0
441,,,,,15.111997604370117,1.7734854221343994,0.0010000000474974513,33.0
442,18.90150260925293,1.6821759939193726,1.7145941257476807,2.228304147720337,,,,34.0
454,,,,,16.799631118774414,1.723956823348999,0.0010000000474974513,34.0
455,19.05492401123047,1.53901207447052,1.6939603090286255,2.2264366149902344,,,,35.0
467,,,,,19.039581298828125,1.6746325492858887,0.0010000000474974513,35.0
468,23.534826278686523,1.7537579536437988,1.6106352806091309,2.1740379333496094,,,,36.0
480,,,,,21.202823638916016,1.6117361783981323,0.0010000000474974513,36.0
481,25.06903839111328,1.8969218730926514,1.551053524017334,2.152374744415283,,,,37.0
493,,,,,22.844430923461914,1.553748369216919,0.0010000000474974513,37.0
494,26.403804779052734,1.7895489931106567,1.507917046546936,2.125974178314209,,,,38.0
506,,,,,23.24332618713379,1.516014814376831,0.0010000000474974513,38.0
507,28.060754776000977,1.9327129125595093,1.4409321546554565,2.0992066860198975,,,,39.0
519,,,,,26.649280548095703,1.4490420818328857,0.0010000000474974513,39.0
520,29.94783592224121,2.326413631439209,1.3915408849716187,2.0786397457122803,,,,40.0
532,,,,,28.39828109741211,1.3971850872039795,0.0010000000474974513,40.0
533,32.663394927978516,2.433786630630493,1.334615707397461,2.018556833267212,,,,41.0
545,,,,,30.914390563964844,1.335158109664917,0.0010000000474974513,41.0
546,34.30500030517578,2.8274874687194824,1.2645864486694336,1.9884827136993408,,,,42.0
558,,,,,33.07762908935547,1.2834135293960571,0.0010000000474974513,42.0
559,37.77232360839844,2.8274874687194824,1.2084242105484009,1.956743597984314,,,,43.0
571,,,,,35.27155303955078,1.2286896705627441,0.0010000000474974513,43.0
572,40.79472351074219,2.863278388977051,1.1502701044082642,1.917851448059082,,,,44.0
584,,,,,37.77232360839844,1.173527717590332,0.0010000000474974513,44.0
585,41.6385383605957,2.791696310043335,1.1155025959014893,1.8971377611160278,,,,45.0
597,,,,,39.291194915771484,1.1297246217727661,0.0010000000474974513,45.0
598,44.814361572265625,3.2211880683898926,1.0486698150634766,1.8572778701782227,,,,46.0
610,,,,,40.88677215576172,1.0809468030929565,0.0010000000474974513,46.0
611,45.65817642211914,2.7559053897857666,1.0275105237960815,1.858087182044983,,,,47.0
623,,,,,43.003990173339844,1.042614459991455,0.0010000000474974513,47.0
624,49.57041931152344,2.899069309234619,0.97113037109375,1.8101361989974976,,,,48.0
636,,,,,44.75299072265625,1.0081884860992432,0.0010000000474974513,48.0
637,48.72660446166992,3.0064423084259033,0.9633403420448303,1.8127906322479248,,,,49.0
649,,,,,47.1463623046875,0.9598134160041809,0.0010000000474974513,49.0
650,53.92758560180664,3.901216745376587,0.8885192275047302,1.7585450410842896,,,,50.0
662,,,,,50.10739517211914,0.9140374064445496,0.0010000000474974513,50.0
663,54.57195281982422,3.9370076656341553,0.8607417941093445,1.7351868152618408,,,,51.0
675,,,,,52.4700813293457,0.8716829419136047,0.0010000000474974513,51.0
676,54.92482376098633,3.8654258251190186,0.8583233952522278,1.7241346836090088,,,,52.0
688,,,,,54.72537612915039,0.8436389565467834,0.0010000000474974513,52.0
689,61.09235763549805,4.61703634262085,0.7699486017227173,1.6367543935775757,,,,53.0
701,,,,,57.993247985839844,0.7894918322563171,0.0010000000474974513,53.0
702,61.920833587646484,5.476019859313965,0.7549566030502319,1.6241828203201294,,,,54.0
714,,,,,59.71156692504883,0.7664111256599426,0.0010000000474974513,54.0
715,64.25283813476562,6.549749374389648,0.7103322148323059,1.5664384365081787,,,,55.0
727,,,,,63.071495056152344,0.7136584520339966,0.0010000000474974513,55.0
728,69.03958129882812,8.017179489135742,0.6597747802734375,1.5133628845214844,,,,56.0
740,,,,,67.76618957519531,0.6741217374801636,0.0010000000474974513,56.0
741,73.0745620727539,10.486757278442383,0.6132110953330994,1.4439315795898438,,,,57.0
753,,,,,70.11353302001953,0.639183759689331,0.0010000000474974513,57.0
754,73.12059020996094,12.06156063079834,0.6073367595672607,1.4498085975646973,,,,58.0
