step,full_train_acc,val_accuracy,full_train_loss,val_loss,train_accuracy,train_loss,learning_rate,epoch
9,,,,,0.0,4.752048969268799,0.0,0.0
10,0.0,0.0,3.1442677974700928,3.1485140323638916,,,,1.0
19,,,,,0.0,2.9138336181640625,0.0010000000474974513,1.0
20,0.0,0.0,2.499737501144409,2.5105230808258057,,,,2.0
29,,,,,0.27920961380004883,2.4458065032958984,0.0010000000474974513,2.0
30,1.2027491331100464,0.8376289010047913,2.3678464889526367,2.3772404193878174,,,,3.0
39,,,,,0.8805842399597168,2.358567714691162,0.0010000000474974513,3.0
40,1.0953608751296997,1.0309278964996338,2.3305792808532715,2.3373634815216064,,,,4.0
49,,,,,1.073883295059204,2.3286983966827393,0.0010000000474974513,4.0
50,1.2457045316696167,0.880584180355072,2.3157784938812256,2.3239681720733643,,,,5.0
59,,,,,1.1597938537597656,2.3170433044433594,0.0010000000474974513,5.0
60,1.0094501972198486,1.0524054765701294,2.30842661857605,2.319765090942383,,,,6.0
69,,,,,1.1168384552001953,2.3105387687683105,0.0010000000474974513,6.0
70,1.0738831758499146,0.8591065406799316,2.3039259910583496,2.315156936645508,,,,7.0
79,,,,,0.9235395789146423,2.30554461479187,0.0010000000474974513,7.0
80,1.1597938537597656,0.9235395193099976,2.298330307006836,2.3081209659576416,,,,8.0
89,,,,,1.1597938537597656,2.298901081085205,0.0010000000474974513,8.0
90,1.1597938537597656,0.9020618796348572,2.2918620109558105,2.3017845153808594,,,,9.0
99,,,,,1.4604811668395996,2.2927753925323486,0.0010000000474974513,9.0
100,1.2671821117401123,0.9664948582649231,2.2834112644195557,2.2939460277557373,,,,10.0
109,,,,,1.5893471240997314,2.284451484680176,0.0010000000474974513,10.0
110,2.1692440509796143,1.9544674158096313,2.2739546298980713,2.2838563919067383,,,,11.0
119,,,,,2.2121992111206055,2.277223825454712,0.0010000000474974513,11.0
120,2.2121994495391846,1.9544674158096313,2.2705624103546143,2.283498764038086,,,,12.0
129,,,,,1.954467535018921,2.2742581367492676,0.0010000000474974513,12.0
130,2.255154609680176,1.911512017250061,2.2665698528289795,2.282841682434082,,,,13.0
139,,,,,2.405498504638672,2.2696385383605957,0.0010000000474974513,13.0
140,2.4914090633392334,1.8041237592697144,2.264448642730713,2.2806293964385986,,,,14.0
149,,,,,2.255154609680176,2.269199848175049,0.0010000000474974513,14.0
150,2.3195877075195312,1.7396907806396484,2.2595229148864746,2.2855384349823,,,,15.0
159,,,,,2.426975965499878,2.2645626068115234,0.0010000000474974513,15.0
160,2.6632301807403564,1.6967353820800781,2.255340576171875,2.2891123294830322,,,,16.0
169,,,,,2.5343642234802246,2.2588953971862793,0.0010000000474974513,16.0
170,2.5343642234802246,1.6537801027297974,2.2511813640594482,2.2958927154541016,,,,17.0
179,,,,,2.4914090633392334,2.252943515777588,0.0010000000474974513,17.0
180,3.200171947479248,1.4390034675598145,2.239436149597168,2.3054885864257812,,,,18.0
189,,,,,2.9424400329589844,2.2463903427124023,0.0010000000474974513,18.0
190,3.2431271076202393,1.4390034675598145,2.2280490398406982,2.3266775608062744,,,,19.0
199,,,,,3.200171947479248,2.234255790710449,0.0010000000474974513,19.0
200,4.231099605560303,1.3530927896499634,2.2102255821228027,2.348255157470703,,,,20.0
209,,,,,3.823024272918701,2.2162599563598633,0.0010000000474974513,20.0
210,4.875429630279541,1.3530927896499634,2.191215991973877,2.3772811889648438,,,,21.0
219,,,,,4.725085735321045,2.198333978652954,0.0010000000474974513,21.0
220,5.219072341918945,1.2027491331100464,2.167734384536743,2.4023337364196777,,,,22.0
229,,,,,4.961339950561523,2.174201011657715,0.0010000000474974513,22.0
230,5.519759654998779,1.2027491331100464,2.150506019592285,2.4381229877471924,,,,23.0
239,,,,,5.562714576721191,2.153088092803955,0.0010000000474974513,23.0
240,6.851374626159668,1.2027491331100464,2.118144989013672,2.4638195037841797,,,,24.0
249,,,,,6.6151204109191895,2.124253273010254,0.0010000000474974513,24.0
250,7.3883161544799805,1.2886598110198975,2.088289260864258,2.4966366291046143,,,,25.0
259,,,,,7.15206241607666,2.0961997509002686,0.0010000000474974513,25.0
260,8.462199211120605,1.1597938537597656,2.060884714126587,2.511542797088623,,,,26.0
269,,,,,8.29037857055664,2.0694663524627686,0.0010000000474974513,26.0
270,9.471649169921875,1.2457045316696167,2.0320286750793457,2.5372140407562256,,,,27.0
279,,,,,9.020618438720703,2.041440486907959,0.0010000000474974513,27.0
280,11.297250747680664,1.1812715530395508,1.9990400075912476,2.54225754737854,,,,28.0
289,,,,,10.416666030883789,2.0056631565093994,0.0010000000474974513,28.0
290,12.242268562316895,1.2886598110198975,1.9619358777999878,2.575439214706421,,,,29.0
299,,,,,12.113402366638184,1.96818208694458,0.0010000000474974513,29.0
300,13.337629318237305,1.2457045316696167,1.9274824857711792,2.596151828765869,,,,30.0
309,,,,,13.144330024719238,1.9335789680480957,0.0010000000474974513,30.0
310,15.59278392791748,1.2671821117401123,1.8847897052764893,2.608934164047241,,,,31.0
319,,,,,14.54037857055664,1.8916163444519043,0.0010000000474974513,31.0
320,16.344501495361328,1.2027491331100464,1.8543745279312134,2.633864402770996,,,,32.0
329,,,,,15.979382514953613,1.8559545278549194,0.0010000000474974513,32.0
330,17.762027740478516,1.2242268323898315,1.8084075450897217,2.64664363861084,,,,33.0
339,,,,,17.439861297607422,1.8104182481765747,0.0010000000474974513,33.0
340,21.520618438720703,1.2671821117401123,1.7554020881652832,2.6721127033233643,,,,34.0
349,,,,,20.017181396484375,1.7627146244049072,0.0010000000474974513,34.0
350,22.079038619995117,1.3745704889297485,1.719144344329834,2.6819987297058105,,,,35.0
359,,,,,21.048110961914062,1.721999168395996,0.0010000000474974513,35.0
360,23.947595596313477,1.3101375102996826,1.6630406379699707,2.716428518295288,,,,36.0
369,,,,,23.840206146240234,1.666420578956604,0.0010000000474974513,36.0
370,27.27663230895996,1.3101375102996826,1.6046072244644165,2.7287280559539795,,,,37.0
379,,,,,26.224225997924805,1.6149991750717163,0.0010000000474974513,37.0
380,29.05927848815918,1.3101375102996826,1.5510414838790894,2.753854751586914,,,,38.0
389,,,,,28.028350830078125,1.561344861984253,0.0010000000474974513,38.0
390,32.409793853759766,1.3101375102996826,1.4853099584579468,2.7772254943847656,,,,39.0
399,,,,,30.992267608642578,1.5023727416992188,0.0010000000474974513,39.0
400,34.51460647583008,1.3530927896499634,1.441112995147705,2.7872440814971924,,,,40.0
409,,,,,33.719932556152344,1.4500935077667236,0.0010000000474974513,40.0
410,37.45704650878906,1.3316150903701782,1.3838584423065186,2.809100866317749,,,,41.0
419,,,,,36.211341857910156,1.393459677696228,0.0010000000474974513,41.0
420,39.26116943359375,1.5678694248199463,1.3375616073608398,2.835151195526123,,,,42.0
429,,,,,39.003440856933594,1.3379223346710205,0.0010000000474974513,42.0
430,44.652061462402344,1.3316150903701782,1.2569776773452759,2.8498690128326416,,,,43.0
439,,,,,42.890892028808594,1.2719656229019165,0.0010000000474974513,43.0
440,46.04811096191406,1.2886598110198975,1.2110862731933594,2.8741445541381836,,,,44.0
449,,,,,45.425254821777344,1.2141810655593872,0.0010000000474974513,44.0
450,49.226806640625,1.3316150903701782,1.1520222425460815,2.898569345474243,,,,45.0
459,,,,,48.539520263671875,1.1546235084533691,0.0010000000474974513,45.0
460,53.37199401855469,1.2886598110198975,1.0866084098815918,2.910449981689453,,,,46.0
469,,,,,52.061859130859375,1.0940327644348145,0.0010000000474974513,46.0
470,58.50515365600586,1.3745704889297485,1.009217381477356,2.9311635494232178,,,,47.0
479,,,,,55.92784118652344,1.025081992149353,0.0010000000474974513,47.0
480,60.567012786865234,1.4175257682800293,0.9471913576126099,2.956467866897583,,,,48.0
489,,,,,58.39776611328125,0.9595842957496643,0.0010000000474974513,48.0
490,64.81958770751953,1.4819587469100952,0.8809096217155457,2.9748809337615967,,,,49.0
499,,,,,63.208763122558594,0.8958535194396973,0.0010000000474974513,49.0
500,67.976806640625,1.4819587469100952,0.818995475769043,2.9918947219848633,,,,50.0
509,,,,,66.21563720703125,0.8373109102249146,0.0010000000474974513,50.0
510,71.58505249023438,1.3960481882095337,0.7615830302238464,3.018578290939331,,,,51.0
519,,,,,69.65206146240234,0.7767047882080078,0.0010000000474974513,51.0
520,74.1408920288086,1.6108248233795166,0.712571918964386,3.0406274795532227,,,,52.0
529,,,,,72.72337341308594,0.7249683141708374,0.0010000000474974513,52.0
530,78.67268371582031,1.4390034675598145,0.6378114819526672,3.0499799251556396,,,,53.0
539,,,,,76.71821594238281,0.6582051515579224,0.0010000000474974513,53.0
540,79.96134185791016,1.5463917255401611,0.6028270721435547,3.085270404815674,,,,54.0
549,,,,,79.33849334716797,0.608330249786377,0.0010000000474974513,54.0
550,83.2044677734375,1.2886598110198975,0.5478982925415039,3.1047449111938477,,,,55.0
559,,,,,82.32388305664062,0.5592596530914307,0.0010000000474974513,55.0
560,85.37371063232422,1.5463917255401611,0.5064278244972229,3.123782157897949,,,,56.0
569,,,,,84.3213119506836,0.5183638334274292,0.0010000000474974513,56.0
570,88.70275115966797,1.5463917255401611,0.4505642354488373,3.1394917964935303,,,,57.0
579,,,,,87.04896545410156,0.46824023127555847,0.0010000000474974513,57.0
580,89.96993255615234,1.5034364461898804,0.4178145229816437,3.1577162742614746,,,,58.0
589,,,,,89.02491760253906,0.42809250950813293,0.0010000000474974513,58.0
590,91.408935546875,1.5249141454696655,0.3865625560283661,3.181229829788208,,,,59.0
599,,,,,91.38745880126953,0.3812495470046997,0.0010000000474974513,59.0
600,94.69501495361328,1.4819587469100952,0.32448163628578186,3.2130703926086426,,,,60.0
609,,,,,93.53522491455078,0.3302222490310669,0.0010000000474974513,60.0
610,96.37027740478516,1.5893471240997314,0.28544703125953674,3.2350711822509766,,,,61.0
619,,,,,95.6400375366211,0.2961347699165344,0.0010000000474974513,61.0
620,97.7448501586914,1.4604811668395996,0.2445177137851715,3.243452310562134,,,,62.0
629,,,,,97.07904052734375,0.2531488537788391,0.0010000000474974513,62.0
630,98.06700897216797,1.4819587469100952,0.22380028665065765,3.2779767513275146,,,,63.0
639,,,,,97.1864242553711,0.2355533242225647,0.0010000000474974513,63.0
640,98.43212890625,1.5463917255401611,0.20229493081569672,3.2979373931884766,,,,64.0
649,,,,,97.48711395263672,0.21319013833999634,0.0010000000474974513,64.0
650,98.79724884033203,1.5463917255401611,0.1733573079109192,3.319685459136963,,,,65.0
659,,,,,98.45361328125,0.18423470854759216,0.0010000000474974513,65.0
660,98.81873321533203,1.5678694248199463,0.15740741789340973,3.347407579421997,,,,66.0
669,,,,,98.9046401977539,0.16229358315467834,0.0010000000474974513,66.0
670,99.24828338623047,1.4175257682800293,0.1390310674905777,3.3807971477508545,,,,67.0
679,,,,,99.1408920288086,0.1452304869890213,0.0010000000474974513,67.0
680,99.5489730834961,1.6108248233795166,0.13192370533943176,3.3912880420684814,,,,68.0
689,,,,,99.01202392578125,0.13622964918613434,0.0010000000474974513,68.0
690,99.48453521728516,1.4819587469100952,0.12140658497810364,3.4334864616394043,,,,69.0
699,,,,,99.205322265625,0.1247020810842514,0.0010000000474974513,69.0
700,98.99055480957031,1.5034364461898804,0.11848893761634827,3.4429872035980225,,,,70.0
709,,,,,98.66838073730469,0.12817546725273132,0.0010000000474974513,70.0
710,99.20532989501953,1.7826460599899292,0.11676051467657089,3.4610955715179443,,,,71.0
719,,,,,99.03350067138672,0.11698533594608307,0.0010000000474974513,71.0
720,99.5489730834961,1.5893471240997314,0.08975800126791,3.49862003326416,,,,72.0
729,,,,,99.33419799804688,0.09687351435422897,0.0010000000474974513,72.0
730,99.59192657470703,1.5678694248199463,0.07902634888887405,3.513547420501709,,,,73.0
739,,,,,99.65635681152344,0.0811510682106018,0.0010000000474974513,73.0
740,99.80670166015625,1.6752578020095825,0.07267095893621445,3.544489860534668,,,,74.0
749,,,,,99.54896545410156,0.07774618268013,0.0010000000474974513,74.0
750,99.78522491455078,1.5893471240997314,0.06501413136720657,3.560645341873169,,,,75.0
