step,full_train_acc,val_accuracy,full_train_loss,val_loss,train_accuracy,train_loss,learning_rate,epoch
9,,,,,0.0,4.79126501083374,0.0,0.0
10,0.0,0.0,3.1408650875091553,3.1478183269500732,,,,1.0
19,,,,,0.0,2.910482406616211,0.0010000000474974513,1.0
20,0.0,0.0,2.5078089237213135,2.5168445110321045,,,,2.0
29,,,,,0.2551020383834839,2.451672077178955,0.0010000000474974513,2.0
30,0.680272102355957,0.6376195549964905,2.364542245864868,2.373581886291504,,,,3.0
39,,,,,0.8928571939468384,2.3524222373962402,0.0010000000474974513,3.0
40,1.1904761791229248,0.9139213562011719,2.3257572650909424,2.337695837020874,,,,4.0
49,,,,,1.1479592323303223,2.3233675956726074,0.0010000000474974513,4.0
50,1.1692177057266235,0.7226354479789734,2.3103113174438477,2.3225677013397217,,,,5.0
59,,,,,1.2117347717285156,2.3124630451202393,0.0010000000474974513,5.0
60,1.2329931259155273,0.8501594066619873,2.3026013374328613,2.313997268676758,,,,6.0
69,,,,,1.1479591131210327,2.306079864501953,0.0010000000474974513,6.0
70,1.2329931259155273,0.8076514005661011,2.2987358570098877,2.3127145767211914,,,,7.0
79,,,,,1.1692177057266235,2.3020730018615723,0.0010000000474974513,7.0
80,1.3392857313156128,0.8289054036140442,2.2947328090667725,2.3120601177215576,,,,8.0
89,,,,,1.2542517185211182,2.298288106918335,0.0010000000474974513,8.0
90,1.318027138710022,0.7651434540748596,2.292149782180786,2.31195068359375,,,,9.0
99,,,,,1.360544204711914,2.2964844703674316,0.0010000000474974513,9.0
100,1.7857142686843872,0.701381504535675,2.289166212081909,2.313666820526123,,,,10.0
109,,,,,1.232993245124817,2.2930209636688232,0.0010000000474974513,10.0
110,1.4455782175064087,0.7438894510269165,2.2836878299713135,2.315436840057373,,,,11.0
119,,,,,1.2967686653137207,2.287175178527832,0.0010000000474974513,11.0
120,1.892006754875183,0.5951115489006042,2.278118371963501,2.3166539669036865,,,,12.0
129,,,,,1.8069727420806885,2.2829697132110596,0.0010000000474974513,12.0
130,2.232142925262451,0.6163655519485474,2.2659153938293457,2.3259243965148926,,,,13.0
139,,,,,2.3809523582458496,2.2704453468322754,0.0010000000474974513,13.0
