step,full_train_acc,val_accuracy,full_train_loss,val_loss,train_accuracy,train_loss,learning_rate,epoch
9,,,,,0.08591065555810928,4.872508525848389,0.0,0.0
10,0.0,0.0,3.230071544647217,3.231410026550293,,,,1.0
19,,,,,0.0,3.011927843093872,0.0010000000474974513,1.0
20,0.0,0.0,2.557368040084839,2.565864324569702,,,,2.0
29,,,,,0.3006872832775116,2.483706474304199,0.0010000000474974513,2.0
30,0.8376289010047913,0.7517182230949402,2.380169630050659,2.390568256378174,,,,3.0
39,,,,,0.9664948582649231,2.36618971824646,0.0010000000474974513,3.0
40,1.1812715530395508,0.8161512017250061,2.3345296382904053,2.3466808795928955,,,,4.0
49,,,,,0.9020618200302124,2.334005355834961,0.0010000000474974513,4.0
50,1.2027491331100464,0.9879724979400635,2.3167731761932373,2.3274831771850586,,,,5.0
59,,,,,1.1812715530395508,2.318840742111206,0.0010000000474974513,5.0
60,1.2242268323898315,0.9020618796348572,2.3087565898895264,2.318549871444702,,,,6.0
69,,,,,1.2242268323898315,2.312190294265747,0.0010000000474974513,6.0
70,1.2242268323898315,0.8591065406799316,2.303051471710205,2.3162641525268555,,,,7.0
79,,,,,1.50343656539917,2.3058366775512695,0.0010000000474974513,7.0
80,1.3316150903701782,0.9020618796348572,2.297480821609497,2.31264066696167,,,,8.0
89,,,,,1.4390034675598145,2.3017730712890625,0.0010000000474974513,8.0
90,2.2121994495391846,1.9544674158096313,2.2937941551208496,2.3096725940704346,,,,9.0
99,,,,,2.0189003944396973,2.2961249351501465,0.0010000000474974513,9.0
100,2.276632308959961,1.8256014585494995,2.2852566242218018,2.303101062774658,,,,10.0
109,,,,,2.0618557929992676,2.28635311126709,0.0010000000474974513,10.0
110,2.6202750205993652,1.8041237592697144,2.2697696685791016,2.2960429191589355,,,,11.0
119,,,,,2.426975965499878,2.2724125385284424,0.0010000000474974513,11.0
120,2.4914090633392334,1.8041237592697144,2.2602713108062744,2.298255443572998,,,,12.0
129,,,,,2.276632308959961,2.2652602195739746,0.0010000000474974513,12.0
130,2.899484634399414,1.8256014585494995,2.2521579265594482,2.3051249980926514,,,,13.0
139,,,,,2.749140977859497,2.2575578689575195,0.0010000000474974513,13.0
140,3.049828290939331,1.6752578020095825,2.241835594177246,2.3138298988342285,,,,14.0
149,,,,,2.6847081184387207,2.2468996047973633,0.0010000000474974513,14.0
150,3.4149484634399414,1.6323024034500122,2.226128101348877,2.3322269916534424,,,,15.0
